Unnamed: 0,Period Ending,close,Current Ratio,Quick Ratio,Profit Margin,After Tax ROE,size,non linear size,book to price,EY-CETOP,EY-ETOP,Leverage-MLEV,Leverage-DTOA,Leverage-BLEV,momentum,Liq-STOM,Liq-STOQ,Liq-STOH,GICS Sector,beta,weighted alpha,std_res,half_year_return,three_m_rtn,VaR
0,2012-12-31,13.5,78.0,72.0,8.0,23.0,22.232330775233727,155.39391191886534,-0.30536207849640684,-0.4148148148148148,-0.4148148148148148,2.57346600331675,1.0587409612930667,0.1090522098409916,0.09130842701342573,-1.038702935764952,-1.049466253215724,-0.8441630774648584,Industrials,0.3576081926783046,-0.09972968380848823,0.02831373984251675,0.21703703703703706,0.15037037037037032,-0.04617245823217525
1,2013-12-31,25.25,104.0,96.0,7.0,67.0,22.138223237850266,179.9911885369711,-0.6634581124424648,-0.4455445544554456,-0.4455445544560528,4.7297958258253985,1.0645962439093621,-4.62175027462468,0.13579841156247074,0.6958638387917668,0.34436697248556514,0.13245907410011426,Industrials,1.1243886673079733,0.09385599707294197,0.02236911783986224,0.6613861782178218,0.4934653069306929,-0.02473108154466816
2,2014-12-31,53.630001,88.0,80.0,7.0,143.0,24.372577063534518,-75.2768285791117,0.052564263663478654,0.07495804447216027,0.07495804447211554,1.4172629796898506,0.9532446500867552,8.938149430974764,0.2052606445483129,-0.8728948767273539,-0.7742048814212724,-0.9723144059529457,Industrials,1.6614815686029194,-0.055034975363671634,0.023906060001515968,-0.2722357211964252,-0.08297596339780043,-0.03712417838629695
3,2015-12-31,42.349998,73.0,67.0,19.0,135.0,24.065961605234104,-81.96307636296842,0.1991496711157033,0.2689492452868593,0.26894924528669073,1.6478107314198478,0.8836104513064132,4.2528837622005335,-0.006585779304519614,-1.418801133178298,-1.3256972459460747,-1.2060554795471365,Industrials,1.0337884089981133,0.09794162270359924,0.01881067952169344,-0.3074379838223369,-0.0703659773490426,-0.03507967443834406
4,2012-12-28,71.510002,124.0,34.0,6.0,32.0,22.37968410238786,119.25454040461227,0.2310261164714801,0.07397566566981778,0.0739756656698544,1.1153439906272495,0.7375936697924971,1.4992681883283472,-0.007373945896421713,-1.3644446447816059,-1.2706840232875798,-1.1772982302144712,Consumer Discretionary,0.6017975018678632,0.04235817363670576,0.01839387610091609,0.14515447783094734,0.1582995340987406,-0.019797959012225117
5,2013-12-27,109.919998,144.0,52.0,6.0,26.0,22.806943695375466,31.018271536499014,0.18872443267085728,0.0487627374229028,0.048762737422887864,1.1310272496732077,0.7275352062815129,1.694278148403415,0.13490258926012527,-1.3766918402835597,-1.3629340116922568,-1.526713284576175,Consumer Discretionary,1.1445733829604503,0.03432939841350429,0.017421597221136273,0.2274381409650317,0.15083699328306036,-0.014183815655374103
6,2015-01-02,158.559998,130.0,22.0,5.0,25.0,23.17428231446261,-24.889677352863146,0.17266286277457668,0.04257063625845908,0.04257063625843538,1.1410596879191548,0.7484524056818345,1.8169659975076289,0.0825011762104753,-1.5919824319816849,-1.4362106387917195,-1.5314301100747882,Consumer Discretionary,0.8738955180483596,0.017574602100173555,0.011925324993955645,0.030650858106090445,-0.08091575530923005,-0.017923536059047146
7,2015-12-31,150.509995,130.0,20.0,5.0,19.0,23.1253963934145,-18.5252135485116,0.22274986324357127,0.04285429681929097,0.042854296819285084,1.1098212531180545,0.6975071193112354,1.493025008046661,-0.10585205237009644,-0.9021200580758043,-1.1182012017360317,-1.0872207695146348,Consumer Discretionary,0.9632328803087984,0.06999885438061358,0.02059463581416064,0.09182119101126808,0.0579363583129479,-0.025000882779484982
8,2013-09-27,482.750008,168.0,164.0,22.0,30.0,26.82505301479907,487.4824111245762,0.27660927190123963,0.08292076506811782,0.08292076506816091,1.0379711147111272,0.4031449275362319,1.1372734704449248,0.04667814460302195,0.8755274218448872,0.7268738759145794,0.8118221651344644,Information Technology,0.6178160383019989,-0.01707216395121,0.016531468776755126,0.11183835549053624,0.16020710447465356,-0.026647734838480156
9,2014-09-26,100.75,108.0,105.0,22.0,35.0,27.142199311480425,629.0684067953442,0.18186557789498445,0.06441687344913151,0.06441687344913656,1.0472602356535086,0.5188600709975457,1.2598635552726654,0.05725424093785395,-1.3781227822464315,-1.6685502415614608,-1.558736515247098,Information Technology,0.914708853672686,0.10067061468036737,0.012046399826300016,0.2542928337468982,0.1314143722084367,-0.013041966769715724
